"series_id","synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
1,T_predictors,0,0,0,919434845
1,F_predictors,0,0,0,917690338
1,ALL_predictors,0,0,0,925542498
1,NO_predictors,0,0,0,918507342
2,T_predictors,0,0,-0,19848274
2,F_predictors,0,0,0,197401734
2,ALL_predictors,0,0,0,143952183
2,NO_predictors,0,0,-0,229652018
3,T_predictors,0,0,0,875573895
3,F_predictors,0,0,0,848177567
3,ALL_predictors,0,0,0,874232022
3,NO_predictors,0,1,0,762399565
4,T_predictors,0,0,0,906912014
4,F_predictors,0,0,0,907047771
4,ALL_predictors,0,0,0,90673571
4,NO_predictors,0,0,NA
5,T_predictors,0,0,0,955408
5,F_predictors,0,0,0,954485725
5,ALL_predictors,0,0,0,954073966
5,NO_predictors,0,0,0,945810668
6,T_predictors,0,0,0,982989505
6,F_predictors,0,0,0,983231953
6,ALL_predictors,0,0,0,979968263
6,NO_predictors,0,0,0,980322979
7,T_predictors,0,0,0,882219995
7,F_predictors,0,0,0,817699591
7,ALL_predictors,0,0,0,910794661
7,NO_predictors,0,0,0,790628287
8,T_predictors,0,0,0,941305665
8,F_predictors,0,0,0,94130583
8,ALL_predictors,0,0,0,941305553
8,NO_predictors,0,0,0,875622715
9,T_predictors,0,0,NA
9,F_predictors,0,1,0,959021678
9,ALL_predictors,0,0,0,959818345
9,NO_predictors,0,0,0,754346762
10,T_predictors,0,0,0,918309642
10,F_predictors,0,0,0,918309626
10,ALL_predictors,0,0,0,918309505
10,NO_predictors,0,0,0,832714406
11,T_predictors,0,0,0,954130376
11,F_predictors,0,0,0,482100532
11,ALL_predictors,0,0,0,939034656
11,NO_predictors,0,0,0,947420182
12,T_predictors,0,0,0,998023335
12,F_predictors,0,0,0,998323795
12,ALL_predictors,0,0,0,997776343
12,NO_predictors,0,0,0,989494849
13,T_predictors,0,0,0,749486225
13,F_predictors,0,0,0,749484137
13,ALL_predictors,0,0,0,749486202
13,NO_predictors,0,0,0,608242274
14,T_predictors,0,0,0,87749146
14,F_predictors,0,0,0,787214693
14,ALL_predictors,0,0,0,877507869
14,NO_predictors,0,0,0,736011079
15,T_predictors,0,0,0,747896284
15,F_predictors,0,0,0,768501262
15,ALL_predictors,0,0,0,752229081
15,NO_predictors,0,0,0,738685976
16,T_predictors,0,0,0,926957132
16,F_predictors,0,0,0,913493322
16,ALL_predictors,0,0,0,92695737
16,NO_predictors,0,1,0,909882222
17,T_predictors,0,0,0,843700867
17,F_predictors,0,0,0,843700352
17,ALL_predictors,0,0,0,843700793
17,NO_predictors,0,0,0,843698221
18,T_predictors,0,0,0,945278843
18,F_predictors,0,0,0,946290128
18,ALL_predictors,0,0,0,949539554
18,NO_predictors,0,0,0,914088915
19,T_predictors,0,0,0,702882841
19,F_predictors,0,0,0,741381201
19,ALL_predictors,0,0,0,797306393
19,NO_predictors,0,0,0,738495334
20,T_predictors,0,0,0,795800049
20,F_predictors,0,0,0,757358575
20,ALL_predictors,0,1,0,822714611
20,NO_predictors,0,0,0,740084183
21,T_predictors,0,0,0,868414645
21,F_predictors,0,0,0,849280743
21,ALL_predictors,0,0,0,865682063
21,NO_predictors,0,0,0,397796708
22,T_predictors,0,0,0,809329309
22,F_predictors,0,0,0,796669538
22,ALL_predictors,0,0,0,801181853
22,NO_predictors,0,0,0,806633609
23,T_predictors,0,0,0,983869276
23,F_predictors,0,0,0,980742496
23,ALL_predictors,0,0,0,983866583
23,NO_predictors,0,0,0,967547577
24,T_predictors,0,0,0,735037934
24,F_predictors,0,0,0,795851781
24,ALL_predictors,0,0,0,806902934
24,NO_predictors,0,0,-0,099275347
25,T_predictors,0,0,0,925789074
25,F_predictors,0,0,0,920120623
25,ALL_predictors,0,0,0,927137141
25,NO_predictors,0,0,NA
26,T_predictors,0,0,0,96954435
26,F_predictors,0,0,0,963399108
26,ALL_predictors,0,0,0,971368924
26,NO_predictors,0,0,0,960271913
27,T_predictors,0,0,0,843360917
27,F_predictors,0,0,0,844714351
27,ALL_predictors,0,0,0,844714844
27,NO_predictors,0,0,0,841740323
28,T_predictors,0,0,0,951463499
28,F_predictors,0,0,0,951174189
28,ALL_predictors,0,0,0,954281579
28,NO_predictors,0,0,0,944400175
29,T_predictors,0,0,0,813012325
29,F_predictors,0,0,0,861046395
29,ALL_predictors,0,0,0,879254383
29,NO_predictors,0,0,0,687321919
30,T_predictors,0,0,0,854358247
30,F_predictors,0,0,0,861136148
30,ALL_predictors,0,0,0,854358248
30,NO_predictors,0,0,0,854323172
31,T_predictors,0,0,0,962942942
31,F_predictors,0,0,0,947468904
31,ALL_predictors,0,0,0,971285393
31,NO_predictors,0,0,0,921184466
32,T_predictors,0,0,0,891192351
32,F_predictors,0,0,0,850700743
32,ALL_predictors,0,0,0,896134422
32,NO_predictors,0,0,0,601375881
33,T_predictors,0,0,0,841092849
33,F_predictors,0,0,0,823948244
33,ALL_predictors,0,0,0,832299403
33,NO_predictors,0,0,0,823302267
34,T_predictors,0,0,0,963205142
34,F_predictors,0,0,0,961122136
34,ALL_predictors,0,0,0,963205121
34,NO_predictors,0,0,0,9587614
35,T_predictors,0,0,0,991874032
35,F_predictors,0,0,0,973349351
35,ALL_predictors,0,0,0,992011706
35,NO_predictors,0,0,0,60200965
36,T_predictors,0,0,0,952095517
36,F_predictors,0,1,0,909246338
36,ALL_predictors,0,0,0,952086537
36,NO_predictors,0,0,0,880402112
37,T_predictors,0,0,0,882195018
37,F_predictors,0,0,0,847842574
37,ALL_predictors,0,0,0,88211713
37,NO_predictors,0,0,0,882216018
38,T_predictors,0,0,0,985562473
38,F_predictors,0,0,0,983144052
38,ALL_predictors,0,0,0,985516376
38,NO_predictors,0,0,0,965952899
39,T_predictors,0,0,0,274206808
39,F_predictors,0,0,0,917980474
39,ALL_predictors,0,0,0,931267438
39,NO_predictors,0,0,0,357038807
40,T_predictors,0,0,0,372899304
40,F_predictors,0,0,0,236270197
40,ALL_predictors,0,0,0,237295879
40,NO_predictors,0,0,0,274939449
41,T_predictors,0,0,0,83715168
41,F_predictors,0,0,0,881108268
41,ALL_predictors,0,0,0,860557975
41,NO_predictors,0,0,0,642015901
42,T_predictors,0,0,0,864033943
42,F_predictors,0,0,0,827440321
42,ALL_predictors,0,0,0,841230332
42,NO_predictors,0,0,0,692349986
43,T_predictors,0,0,0,971461275
43,F_predictors,0,0,0,971150737
43,ALL_predictors,0,0,0,971461213
43,NO_predictors,0,0,0,972387657
44,T_predictors,0,0,0,926447961
44,F_predictors,0,0,0,931264109
44,ALL_predictors,0,0,0,932419852
44,NO_predictors,0,0,0,927181194
45,T_predictors,0,0,NA
45,F_predictors,0,0,0,835629845
45,ALL_predictors,0,0,0,835629683
45,NO_predictors,0,0,0,823268324
46,T_predictors,0,0,0,781673649
46,F_predictors,0,0,0,797879818
46,ALL_predictors,0,0,0,797877817
46,NO_predictors,0,0,0,665656378
47,T_predictors,0,0,0,763211047
47,F_predictors,0,0,0,837806505
47,ALL_predictors,0,0,0,851452325
47,NO_predictors,0,0,0,751077871
48,T_predictors,0,0,0,867455358
48,F_predictors,0,0,0,858307322
48,ALL_predictors,0,0,0,867455324
48,NO_predictors,0,0,0,06927124
49,T_predictors,0,0,0,940416753
49,F_predictors,0,0,0,938255289
49,ALL_predictors,0,0,0,940422021
49,NO_predictors,0,0,0,934010339
50,T_predictors,0,0,0,684284604
50,F_predictors,0,0,0,648145233
50,ALL_predictors,0,0,0,684284017
50,NO_predictors,0,0,0,683226861
51,T_predictors,0,0,0,934535486
51,F_predictors,0,0,0,930698879
51,ALL_predictors,0,0,0,934316938
51,NO_predictors,0,0,0,748169891
52,T_predictors,0,0,0,707111455
52,F_predictors,0,0,0,722123397
52,ALL_predictors,0,0,0,72176603
52,NO_predictors,0,0,0,69552749
53,T_predictors,0,0,NA
53,F_predictors,0,1,0,882066854
53,ALL_predictors,1,1,0,911456683
53,NO_predictors,1,1,0,829202691
54,T_predictors,0,0,0,721804537
54,F_predictors,0,0,0,735605493
54,ALL_predictors,0,0,0,734846698
54,NO_predictors,0,0,0,580100519
55,T_predictors,0,0,0,943322555
55,F_predictors,0,0,0,953494561
55,ALL_predictors,1,1,0,956635135
55,NO_predictors,0,0,0,910305582
56,T_predictors,0,0,0,869150089
56,F_predictors,0,0,NA
56,ALL_predictors,0,0,0,882363825
56,NO_predictors,0,0,NA
57,T_predictors,0,0,0,976242004
57,F_predictors,0,0,0,968205432
57,ALL_predictors,0,0,0,978483532
57,NO_predictors,0,0,0,965909174
58,T_predictors,0,0,0,897168911
58,F_predictors,0,0,0,880986049
58,ALL_predictors,0,0,0,912782795
58,NO_predictors,0,0,0,87363883
59,T_predictors,0,0,NA
59,F_predictors,0,0,0,991854496
59,ALL_predictors,0,0,0,979030865
59,NO_predictors,0,0,0,966902964
60,T_predictors,0,0,0,942006723
60,F_predictors,0,0,0,908186853
60,ALL_predictors,0,0,0,941937463
60,NO_predictors,0,0,0,807764469
61,T_predictors,0,0,0,898974233
61,F_predictors,0,0,0,870149613
61,ALL_predictors,0,0,0,899040313
61,NO_predictors,0,0,0,841584211
62,T_predictors,0,0,0,73686211
62,F_predictors,0,0,0,725860952
62,ALL_predictors,0,0,0,741805731
62,NO_predictors,0,0,0,696326736
63,T_predictors,0,0,0,994958108
63,F_predictors,0,0,0,993438218
63,ALL_predictors,0,0,0,994790367
63,NO_predictors,0,0,0,971736517
64,T_predictors,0,0,0,998681134
64,F_predictors,0,0,0,998956269
64,ALL_predictors,0,0,0,998954186
64,NO_predictors,0,0,0,998098702
65,T_predictors,0,0,0,91269006
65,F_predictors,0,0,0,899391852
65,ALL_predictors,0,0,0,91333605
65,NO_predictors,0,0,0,870673705
66,T_predictors,0,0,NA
66,F_predictors,0,0,0,995228888
66,ALL_predictors,0,0,0,995243871
66,NO_predictors,0,0,NA
67,T_predictors,0,1,0,993771295
67,F_predictors,0,0,0,947486164
67,ALL_predictors,0,0,0,993526363
67,NO_predictors,0,0,0,96092465
68,T_predictors,1,1,0,840011642
68,F_predictors,1,1,0,781702485
68,ALL_predictors,1,1,0,882366084
68,NO_predictors,0,0,0,602600505
69,T_predictors,0,0,0,977256272
69,F_predictors,0,0,0,96759507
69,ALL_predictors,0,0,0,977272643
69,NO_predictors,0,0,0,879914832
70,T_predictors,0,1,0,918555172
70,F_predictors,1,1,0,918960174
70,ALL_predictors,1,1,0,923845801
70,NO_predictors,1,1,0,855870767
71,T_predictors,0,0,0,98144057
71,F_predictors,0,0,0,980937129
71,ALL_predictors,0,0,0,981440428
71,NO_predictors,0,0,0,976196079
72,T_predictors,1,1,0,963331061
72,F_predictors,1,1,0,96364362
72,ALL_predictors,1,1,0,963646903
72,NO_predictors,0,1,0,963128436
73,T_predictors,0,0,0,98581652
73,F_predictors,0,0,0,986478487
73,ALL_predictors,0,0,0,985816614
73,NO_predictors,0,0,0,983170524
74,T_predictors,0,0,0,97046468
74,F_predictors,0,0,0,973173982
74,ALL_predictors,0,0,0,967538118
74,NO_predictors,0,0,0,96452875
75,T_predictors,0,0,0,799940715
75,F_predictors,0,0,0,79874936
75,ALL_predictors,0,0,0,799940744
75,NO_predictors,0,1,0,70466468
76,T_predictors,0,0,0,925930404
76,F_predictors,1,1,0,941803726
76,ALL_predictors,0,0,0,941382832
76,NO_predictors,0,1,0,94022002
77,T_predictors,0,0,0,929385249
77,F_predictors,0,0,0,93189518
77,ALL_predictors,0,0,0,953905964
77,NO_predictors,0,0,0,947149023
78,T_predictors,0,0,0,991421151
78,F_predictors,0,0,0,993210307
78,ALL_predictors,0,0,0,992821105
78,NO_predictors,0,0,0,993337335
79,T_predictors,0,0,0,944754402
79,F_predictors,0,0,0,945062224
79,ALL_predictors,0,0,0,945062207
79,NO_predictors,0,0,0,847131683
80,T_predictors,0,0,0,99583323
80,F_predictors,0,0,0,990498927
80,ALL_predictors,0,0,0,991968202
80,NO_predictors,0,0,0,97254278
81,T_predictors,0,0,NA
81,F_predictors,0,0,0,882537461
81,ALL_predictors,0,0,0,88253729
81,NO_predictors,0,0,0,882436193
82,T_predictors,0,0,0,798079574
82,F_predictors,0,0,0,81853242
82,ALL_predictors,0,0,NA
82,NO_predictors,0,0,0,776177556
83,T_predictors,0,0,0,83572639
83,F_predictors,0,0,0,855216485
83,ALL_predictors,0,0,0,869816513
83,NO_predictors,0,0,NA
84,T_predictors,0,0,0,944859797
84,F_predictors,0,0,0,947139463
84,ALL_predictors,0,0,0,948999111
84,NO_predictors,0,0,0,941653909
85,T_predictors,0,0,0,740240835
85,F_predictors,0,0,0,693737295
85,ALL_predictors,0,0,0,678439252
85,NO_predictors,0,0,0,653025005
86,T_predictors,0,0,0,828415069
86,F_predictors,0,1,0,717245345
86,ALL_predictors,0,0,0,825548543
86,NO_predictors,0,0,0,570114012
87,T_predictors,0,0,0,935537918
87,F_predictors,0,0,0,935538509
87,ALL_predictors,0,0,0,935538452
87,NO_predictors,0,0,0,912887292
88,T_predictors,0,0,0,394255482
88,F_predictors,0,0,0,639969349
88,ALL_predictors,0,0,0,663293485
88,NO_predictors,0,0,0,393907203
89,T_predictors,0,0,0,940737526
89,F_predictors,0,0,0,965752245
89,ALL_predictors,0,0,0,965751744
89,NO_predictors,0,0,0,94065465
90,T_predictors,1,1,0,538548771
90,F_predictors,0,0,0,294934324
90,ALL_predictors,0,0,0,381116461
90,NO_predictors,0,0,-0,21717547
91,T_predictors,0,0,0,984822321
91,F_predictors,0,0,0,984398248
91,ALL_predictors,0,0,0,984693991
91,NO_predictors,0,0,0,980476604
92,T_predictors,0,0,0,947655087
92,F_predictors,0,0,0,966559936
92,ALL_predictors,0,0,0,945131124
92,NO_predictors,0,0,0,938852015
93,T_predictors,0,0,0,997876684
93,F_predictors,0,0,0,997876689
93,ALL_predictors,0,0,0,997876663
93,NO_predictors,0,0,0,997876684
94,T_predictors,0,0,0,913620944
94,F_predictors,0,0,NA
94,ALL_predictors,0,0,0,500156115
94,NO_predictors,0,0,0,356925923
95,T_predictors,0,0,0,840088749
95,F_predictors,0,0,0,840251017
95,ALL_predictors,0,0,0,840315189
95,NO_predictors,0,0,0,840224591
96,T_predictors,0,1,0,983154061
96,F_predictors,0,0,0,983158551
96,ALL_predictors,0,0,0,983154126
96,NO_predictors,0,1,0,983154399
97,T_predictors,0,0,0,927425412
97,F_predictors,0,0,0,960006415
97,ALL_predictors,0,0,0,952757297
97,NO_predictors,0,0,0,89931663
98,T_predictors,0,0,0,858439139
98,F_predictors,0,0,0,838342899
98,ALL_predictors,0,0,0,868403185
98,NO_predictors,0,0,0,814290166
99,T_predictors,0,0,0,953092071
99,F_predictors,0,0,NA
99,ALL_predictors,0,0,0,953091831
99,NO_predictors,0,0,0,952616342
100,T_predictors,1,1,0,565632169
100,F_predictors,0,0,0,460631779
100,ALL_predictors,0,0,0,565632015
100,NO_predictors,0,0,0,242854637
101,T_predictors,0,0,0,602181263
101,F_predictors,0,0,0,400702997
101,ALL_predictors,0,0,0,528018429
101,NO_predictors,0,0,0,249408864
102,T_predictors,0,1,0,981811562
102,F_predictors,0,1,0,982740998
102,ALL_predictors,0,1,0,984970228
102,NO_predictors,0,1,0,982588288
103,T_predictors,0,0,0,991441213
103,F_predictors,0,0,NA
103,ALL_predictors,0,0,0,990375574
103,NO_predictors,0,0,0,991453316
104,T_predictors,0,0,0,870673545
104,F_predictors,0,0,0,793782912
104,ALL_predictors,0,0,0,870674351
104,NO_predictors,0,0,0,655276428
105,T_predictors,0,0,0,988577935
105,F_predictors,0,0,0,988577936
105,ALL_predictors,0,0,0,988577938
105,NO_predictors,0,0,0,988577938
106,T_predictors,0,0,0,900809873
106,F_predictors,0,0,0,878350958
106,ALL_predictors,0,0,NA
106,NO_predictors,0,0,0,779474583
107,T_predictors,0,0,0,837240354
107,F_predictors,0,0,0,790899527
107,ALL_predictors,0,0,0,824338995
107,NO_predictors,0,0,NA
108,T_predictors,0,0,0,992404106
108,F_predictors,0,0,0,935808755
108,ALL_predictors,0,0,0,992567347
108,NO_predictors,0,0,0,972969465
109,T_predictors,0,0,NA
