series_id,synth_control_type,p_value_<=0.05,p_value_<=0.1,R^2
1,T_predictors,0,0,0.894246136
1,F_predictors,0,0,0.894281094
1,ALL_predictors,0,0,0.894281068
1,NO_predictors,0,0,0.894281214
2,T_predictors,0,0,0.676645431
2,F_predictors,0,0,0.717417362
2,ALL_predictors,0,0,0.676646716
2,NO_predictors,0,0,0.616533421
3,T_predictors,0,0,0.510376394
3,F_predictors,0,0,0.66423492
3,ALL_predictors,0,0,0.67498883
3,NO_predictors,0,0,0.521671971
4,T_predictors,0,0,0.930529275
4,F_predictors,0,0,0.930529577
4,ALL_predictors,0,0,0.930529702
4,NO_predictors,0,0,0.930528748
5,T_predictors,0,0,0.852924707
5,F_predictors,0,0,0.840780766
5,ALL_predictors,0,0,0.852927374
5,NO_predictors,0,0,0.807765726
6,T_predictors,0,0,0.974336403
6,F_predictors,0,0,0.974336739
6,ALL_predictors,0,0,0.976271029
6,NO_predictors,0,0,NA
7,T_predictors,0,0,0.779499698
7,F_predictors,0,0,0.750764537
7,ALL_predictors,0,0,0.836530529
7,NO_predictors,0,0,0.7114636
8,T_predictors,0,0,0.929562504
8,F_predictors,0,0,0.927335695
8,ALL_predictors,0,0,0.929827229
8,NO_predictors,0,0,0.868888004
9,T_predictors,0,1,0.945282759
9,F_predictors,0,0,0.879503628
9,ALL_predictors,0,0,0.950286531
9,NO_predictors,0,0,0.678589827
10,T_predictors,0,0,0.848513165
10,F_predictors,0,0,0.853351797
10,ALL_predictors,0,0,0.853351325
10,NO_predictors,0,0,0.848513207
11,T_predictors,0,0,0.952001061
11,F_predictors,0,0,0.587169269
11,ALL_predictors,0,0,0.947733279
11,NO_predictors,0,0,-0.378996336
12,T_predictors,0,0,0.992211905
12,F_predictors,0,0,0.992198835
12,ALL_predictors,0,0,0.993293587
12,NO_predictors,0,0,0.985809021
13,T_predictors,0,0,0.919185111
13,F_predictors,0,0,0.897866782
13,ALL_predictors,0,0,0.919922078
13,NO_predictors,0,0,0.888156182
14,T_predictors,0,0,0.79197279
14,F_predictors,0,0,0.729035912
14,ALL_predictors,0,0,0.74426183
14,NO_predictors,0,0,NA
15,T_predictors,0,0,0.559482335
15,F_predictors,0,0,0.854500241
15,ALL_predictors,0,0,0.857179618
15,NO_predictors,0,0,0.553204733
16,T_predictors,0,0,0.972617166
16,F_predictors,0,1,0.968324976
16,ALL_predictors,0,0,0.973622806
16,NO_predictors,1,1,0.966852057
17,T_predictors,0,0,0.901517593
17,F_predictors,0,0,0.826899418
17,ALL_predictors,0,0,0.902221812
17,NO_predictors,0,0,0.845296562
18,T_predictors,0,0,0.91149136
18,F_predictors,0,0,0.863645236
18,ALL_predictors,0,0,0.918873712
18,NO_predictors,0,0,0.704891788
19,T_predictors,0,0,0.878436186
19,F_predictors,0,0,0.883681964
19,ALL_predictors,0,0,0.883687061
19,NO_predictors,0,0,0.881152866
20,T_predictors,0,0,0.732856588
20,F_predictors,0,0,0.641368836
20,ALL_predictors,0,0,0.682974014
20,NO_predictors,0,0,0.389814714
21,T_predictors,0,0,0.797231814
21,F_predictors,0,0,0.783977234
21,ALL_predictors,0,0,NA
21,NO_predictors,0,0,0.758777256
22,T_predictors,0,0,0.878830413
22,F_predictors,0,0,0.77333812
22,ALL_predictors,0,0,0.878831201
22,NO_predictors,0,0,0.672369172
23,T_predictors,0,0,0.963127584
23,F_predictors,0,0,0.963754282
23,ALL_predictors,0,0,0.963127586
23,NO_predictors,0,0,0.707036379
24,T_predictors,0,0,0.818471202
24,F_predictors,0,0,0.820852944
24,ALL_predictors,0,0,0.80179189
24,NO_predictors,0,0,0.740449204
25,T_predictors,0,0,0.912028732
25,F_predictors,0,0,0.932132126
25,ALL_predictors,0,0,0.932131911
25,NO_predictors,0,0,0.801394821
26,T_predictors,0,0,0.963520989
26,F_predictors,0,0,0.963462011
26,ALL_predictors,0,0,0.963520821
26,NO_predictors,0,0,0.949811636
