series_id,"synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
1,"T_predictors",0,0,0.886193564583108
1,"F_predictors",0,0,0.874421095260687
1,"ALL_predictors",0,0,0.874081073552544
1,"NO_predictors",0,0,0.832508812116631
2,"T_predictors",0,0,0.319887506826038
2,"F_predictors",0,0,0.268688631563509
2,"ALL_predictors",0,1,0.319887520802
2,"NO_predictors",0,0,-1.22087207037151
3,"T_predictors",0,0,0.728379852793774
3,"F_predictors",0,0,0.720961943164682
3,"ALL_predictors",0,0,0.780075716030251
3,"NO_predictors",0,0,0.683628545608186
4,"T_predictors",0,0,0.908594839149459
4,"F_predictors",0,0,0.932476055589796
4,"ALL_predictors",0,0,0.929196035450104
4,"NO_predictors",0,0,0.878153936772075
5,"T_predictors",0,0,0.884869898410231
5,"F_predictors",0,0,0.844028839585668
5,"ALL_predictors",0,0,0.884869418423508
5,"NO_predictors",0,0,0.734669469795511
6,"T_predictors",0,0,0.967750320013041
6,"F_predictors",0,0,0.96733815376739
6,"ALL_predictors",0,0,0.967749037078203
6,"NO_predictors",0,0,0.649462149305555
7,"T_predictors",0,0,0.806760964136883
7,"F_predictors",0,0,0.800425559893498
7,"ALL_predictors",0,0,0.819510356070901
7,"NO_predictors",0,0,0.585883781265778
8,"T_predictors",0,0,0.897412300356939
8,"F_predictors",0,0,0.894094883548325
8,"ALL_predictors",0,0,0.898079338587946
8,"NO_predictors",0,0,0.817851524208368
9,"T_predictors",0,1,0.904150633795942
9,"F_predictors",1,1,0.914982015267988
9,"ALL_predictors",1,1,0.914981926934627
9,"NO_predictors",1,1,0.904148138577577
10,"T_predictors",0,0,0.868239544643713
10,"F_predictors",0,0,0.852909893530961
10,"ALL_predictors",0,0,0.865343510134663
10,"NO_predictors",0,0,0.57216807117144
11,"T_predictors",0,0,0.94793576332634
11,"F_predictors",0,0,0.947936477787757
11,"ALL_predictors",0,0,0.947939224358617
11,"NO_predictors",0,0,0.944360919807518
12,"T_predictors",0,0,0.9859660280574
12,"F_predictors",0,0,0.89691906191178
12,"ALL_predictors",0,0,NA
12,"NO_predictors",0,0,0.90726032073885
13,"T_predictors",0,0,0.873656176501824
13,"F_predictors",0,0,0.873656095229223
13,"ALL_predictors",0,0,0.873656175819646
13,"NO_predictors",0,0,0.87365616006355
14,"T_predictors",0,0,0.833147754370701
14,"F_predictors",0,0,0.804668919340125
14,"ALL_predictors",0,0,0.833148688568601
14,"NO_predictors",0,0,0.762607952929522
15,"T_predictors",0,0,0.624824986085111
15,"F_predictors",0,0,0.739904583516755
15,"ALL_predictors",0,0,0.778068577307716
15,"NO_predictors",0,0,0.488874378772494
16,"T_predictors",0,0,0.968495879119541
16,"F_predictors",0,1,0.968961556070432
16,"ALL_predictors",0,1,0.968966405379245
16,"NO_predictors",0,1,0.968218619824626
17,"T_predictors",1,1,0.763671460952056
17,"F_predictors",0,0,0.532420761879614
17,"ALL_predictors",0,0,0.735547964199951
17,"NO_predictors",0,0,0.235803286662216
18,"T_predictors",0,0,0.922221914297629
18,"F_predictors",0,0,0.918744432673908
18,"ALL_predictors",0,0,0.92275229113703
18,"NO_predictors",0,0,0.915973304014773
19,"T_predictors",0,0,0.851108024107562
19,"F_predictors",0,0,0.85849953675576
19,"ALL_predictors",0,0,0.851604268325905
19,"NO_predictors",0,0,0.838652435147385
20,"T_predictors",0,0,0.691503063832058
20,"F_predictors",0,0,0.553116526204017
20,"ALL_predictors",0,0,0.735589595418289
20,"NO_predictors",0,0,0.495387722071445
21,"T_predictors",0,0,0.191400049108074
21,"F_predictors",0,0,-1.04103227681675
